order_id,date,store,currency,item,qty,unit_price_native,discount_pct,amount_native,fx_date
FX24-0023,2024-02-13,Sydney,AUD,Pantry cake tin set,17,12.41,5,200.42,2024-02-13
FX24-0024,2024-02-19,Tokyo,JPY,Reusable gift bag,1,1870,12,1645.6,2024-02-19
FX24-0025,2024-02-27,US-East,USD,Reusable gift bag,8,18.89,15,128.45,2024-02-27
FX24-0026,2024-03-11,US-West,USD,Travel mug,11,23.97,15,224.12,2024-03-11
FX24-0027,2024-03-22,Berlin,EUR,Desk organizer,7,27.62,0,193.34,2024-03-22
FX24-0028,2024-03-28,Paris,EUR,LED desk lamp,2,43.53,5,82.71,2024-03-28
FX24-0029,2024-01-11,London,GBP,Notebook bundle,1,3.13,0,3.13,2024-01-11
FX24-0030,2024-01-18,Toronto,CAD,Scented candle,18,10.74,0,193.32,2024-01-18
FX24-0031,2024-01-31,Sydney,AUD,Cotton tea towel,5,17.86,0,89.3,2024-01-31
FX24-0032,2024-02-08,Tokyo,JPY,LED desk lamp,2,2670,12,4699.2,2024-02-08
FX24-0033,2024-02-20,US-East,USD,Travel mug,4,23.52,0,94.08,2024-02-20
FX24-0034,2024-03-01,US-West,USD,Pantry cake tin set,13,30.11,5,371.86,2024-03-01
FX24-0035,2024-03-12,Berlin,EUR,LED desk lamp,18,37.69,0,678.42,2024-03-12
FX24-0036,2024-03-22,Paris,EUR,LED desk lamp,6,3.76,15,19.18,2024-03-22
FX24-0037,2024-03-29,London,GBP,Pantry cake tin set,6,6.47,0,38.82,2024-03-29
FX24-0038,2024-01-08,Toronto,CAD,Notebook bundle,8,17.72,5,134.67,2024-01-08
FX24-0039,2024-01-18,Sydney,AUD,Scented candle,11,27.95,12,270.56,2024-01-18
FX24-0040,2024-02-01,Tokyo,JPY,Bamboo lunch box,4,3520,0,14080.0,2024-02-01
FX24-0041,2024-02-05,US-East,USD,Notebook bundle,17,29.56,0,502.52,2024-02-05
FX24-0042,2024-02-21,US-West,USD,Scented candle,18,42.2,12,668.45,2024-02-21
FX24-0043,2024-02-23,Berlin,EUR,Bamboo lunch box,4,3.81,15,12.95,2024-02-23
FX24-0044,2024-03-12,Paris,EUR,Cotton tea towel,10,6.9,0,69.0,2024-03-12
FX24-0045,2024-03-18,London,GBP,Notebook bundle,7,9.48,0,66.36,2024-03-18
FX24-0046,2024-03-25,Toronto,CAD,Travel mug,13,22.62,0,294.06,2024-03-25
FX24-0047,2024-01-11,Sydney,AUD,Bamboo lunch box,7,34.3,12,211.29,2024-01-11
FX24-0048,2024-01-22,Tokyo,JPY,Notebook bundle,13,4660,15,51493.0,2024-01-22
FX24-0049,2024-01-30,US-East,USD,Travel mug,13,43.88,0,570.44,2024-01-30
FX24-0050,2024-02-02,US-West,USD,Scented candle,3,4.26,0,12.78,2024-02-02
FX24-0051,2024-02-13,Berlin,EUR,Ceramic storage jar,8,7.65,0,61.2,2024-02-13
FX24-0052,2024-02-26,Paris,EUR,Cotton tea towel,1,11.21,5,10.65,2024-02-26
FX24-0053,2024-03-06,London,GBP,Bamboo lunch box,11,14.42,10,142.76,2024-03-06
FX24-0054,2024-03-13,Toronto,CAD,Bamboo lunch box,18,33.88,10,548.86,2024-03-13
FX24-0055,2024-03-27,Sydney,AUD,LED desk lamp,13,50.52,0,656.76,2024-03-27
FX24-0056,2024-01-05,Tokyo,JPY,Travel mug,9,6550,0,58950.0,2024-01-05
FX24-0057,2024-01-12,US-East,USD,Ceramic storage jar,12,4.0,0,48.0,2024-01-12
FX24-0058,2024-01-30,US-West,USD,Reusable gift bag,8,7.74,15,52.63,2024-01-30
FX24-0059,2024-02-08,Berlin,EUR,Travel mug,2,11.13,10,20.03,2024-02-08
FX24-0060,2024-02-15,Paris,EUR,Bamboo lunch box,8,15.73,0,125.84,2024-02-15
FX24-0061,2024-02-28,London,GBP,Notebook bundle,12,18.83,0,225.96,2024-02-28
FX24-0062,2024-03-05,Toronto,CAD,LED desk lamp,5,42.27,5,200.78,2024-03-05
FX24-0063,2024-03-19,Sydney,AUD,Desk organizer,3,62.02,12,163.73,2024-03-19
FX24-0064,2024-03-28,Tokyo,JPY,Pantry cake tin set,18,630,0,11340.0,2024-03-28
FX24-0065,2024-01-05,US-East,USD,Notebook bundle,5,8.41,10,37.84,2024-01-05
FX24-0066,2024-01-15,US-West,USD,Travel mug,12,12.28,0,147.36,2024-01-15
FX24-0067,2024-01-26,Berlin,EUR,Pantry cake tin set,15,16.14,5,230.0,2024-01-26
FX24-0068,2024-02-05,Paris,EUR,Reusable gift bag,12,21.87,0,262.44,2024-02-05
FX24-0069,2024-02-16,London,GBP,Desk organizer,18,23.64,15,361.69,2024-02-16
FX24-0070,2024-02-22,Toronto,CAD,Ceramic storage jar,5,61.45,12,270.38,2024-02-22
FX24-0071,2024-03-01,Sydney,AUD,Cotton tea towel,8,6.17,5,46.89,2024-03-01
FX24-0072,2024-03-18,Tokyo,JPY,Travel mug,9,1170,5,10003.5,2024-03-18
FX24-0073,2024-03-20,US-East,USD,Bamboo lunch box,5,13.44,0,67.2,2024-03-20
FX24-0074,2024-01-02,US-West,USD,Reusable gift bag,18,18.39,10,297.92,2024-01-02
FX24-0075,2024-01-16,Berlin,EUR,Notebook bundle,8,21.12,15,143.62,2024-01-16
FX24-0076,2024-01-25,Paris,EUR,Bamboo lunch box,8,26.91,5,204.52,2024-01-25
FX24-0077,2024-01-30,London,GBP,Bamboo lunch box,13,33.58,5,414.71,2024-01-30
FX24-0078,2024-02-08,Toronto,CAD,LED desk lamp,8,5.7,12,40.13,2024-02-08
FX24-0079,2024-02-19,Sydney,AUD,Travel mug,12,12.21,10,131.87,2024-02-19
FX24-0080,2024-03-04,Tokyo,JPY,Scented candle,18,1870,12,29620.8,2024-03-04
FX24-0081,2024-03-15,US-East,USD,Reusable gift bag,6,16.76,0,100.56,2024-03-15
FX24-0082,2024-03-22,US-West,USD,Travel mug,3,23.52,12,62.09,2024-03-22
FX24-0083,2024-01-02,Berlin,EUR,Scented candle,9,28.08,0,252.72,2024-01-02
FX24-0084,2024-01-16,Paris,EUR,Cotton tea towel,1,41.65,5,39.57,2024-01-16
FX24-0085,2024-01-25,London,GBP,Reusable gift bag,4,3.27,15,11.12,2024-01-25
FX24-0086,2024-02-02,Toronto,CAD,LED desk lamp,7,9.83,15,58.49,2024-02-02
FX24-0087,2024-02-12,Sydney,AUD,Ceramic storage jar,11,19.39,10,191.96,2024-02-12
FX24-0088,2024-02-21,Tokyo,JPY,Notebook bundle,4,2700,0,10800.0,2024-02-21
FX24-0089,2024-02-27,US-East,USD,LED desk lamp,17,22.45,0,381.65,2024-02-27
FX24-0090,2024-03-07,US-West,USD,Scented candle,11,30.88,0,339.68,2024-03-07
FX24-0091,2024-03-18,Berlin,EUR,Ceramic storage jar,15,42.43,5,604.63,2024-03-18
FX24-0092,2024-01-03,Paris,EUR,Notebook bundle,18,3.83,5,65.49,2024-01-03
FX24-0093,2024-01-15,London,GBP,Pantry cake tin set,13,6.52,5,80.52,2024-01-15
FX24-0094,2024-01-19,Toronto,CAD,Reusable gift bag,12,16.97,5,193.46,2024-01-19
FX24-0095,2024-01-31,Sydney,AUD,Cotton tea towel,12,28.03,15,285.91,2024-01-31
FX24-0096,2024-02-13,Tokyo,JPY,Desk organizer,13,3540,0,46020.0,2024-02-13
FX24-0097,2024-02-21,US-East,USD,Bamboo lunch box,7,32.93,12,202.85,2024-02-21
FX24-0098,2024-02-27,US-West,USD,Cotton tea towel,18,47.41,10,768.04,2024-02-27
FX24-0099,2024-03-13,Berlin,EUR,Travel mug,13,4.17,15,46.08,2024-03-13
FX24-0100,2024-03-18,Paris,EUR,Desk organizer,9,7.08,15,54.16,2024-03-18
FX24-0101,2024-01-02,London,GBP,Ceramic storage jar,2,9.54,0,19.08,2024-01-02
FX24-0102,2024-01-11,Toronto,CAD,LED desk lamp,5,25.05,5,118.99,2024-01-11
FX24-0103,2024-01-16,Sydney,AUD,Desk organizer,8,38.02,15,258.54,2024-01-16
FX24-0104,2024-01-31,Tokyo,JPY,Cotton tea towel,14,4630,10,58338.0,2024-01-31
FX24-0105,2024-02-08,US-East,USD,Travel mug,13,42.17,10,493.39,2024-02-08
FX24-0106,2024-02-19,US-West,USD,Desk organizer,4,4.36,0,17.44,2024-02-19
FX24-0107,2024-02-28,Berlin,EUR,Reusable gift bag,11,7.05,12,68.24,2024-02-28
FX24-0108,2024-03-12,Paris,EUR,LED desk lamp,14,11.42,0,159.88,2024-03-12
FX24-0109,2024-03-15,London,GBP,Scented candle,3,13.66,0,40.98,2024-03-15
FX24-0110,2024-03-29,Toronto,CAD,Ceramic storage jar,9,33.82,5,289.16,2024-03-29
FX24-0111,2024-01-11,Sydney,AUD,Reusable gift bag,18,50.41,10,816.64,2024-01-11
FX24-0112,2024-01-15,Tokyo,JPY,Cotton tea towel,16,6580,0,105280.0,2024-01-15
FX24-0113,2024-01-25,US-East,USD,Pantry cake tin set,5,4.27,12,18.79,2024-01-25
FX24-0114,2024-02-09,US-West,USD,Bamboo lunch box,14,7.41,15,88.18,2024-02-09
FX24-0115,2024-02-13,Berlin,EUR,Travel mug,9,12.04,0,108.36,2024-02-13
FX24-0116,2024-02-23,Paris,EUR,Desk organizer,5,17.16,10,77.22,2024-02-23
FX24-0117,2024-03-08,London,GBP,Ceramic storage jar,16,17.28,10,248.83,2024-03-08
FX24-0118,2024-03-14,Toronto,CAD,Notebook bundle,1,41.74,15,35.48,2024-03-14
FX24-0119,2024-03-25,Sydney,AUD,Desk organizer,10,67.53,0,675.3,2024-03-25
FX24-0120,2024-01-10,Tokyo,JPY,Scented candle,16,630,12,8870.4,2024-01-10
FX24-0121,2024-01-17,US-East,USD,Pantry cake tin set,18,8.36,0,150.48,2024-01-17
FX24-0122,2024-01-25,US-West,USD,LED desk lamp,14,12.79,5,170.11,2024-01-25
FX24-0123,2024-02-07,Berlin,EUR,Travel mug,5,17.6,0,88.0,2024-02-07
FX24-0124,2024-02-14,Paris,EUR,Pantry cake tin set,11,20.29,0,223.19,2024-02-14
FX24-0125,2024-02-26,London,GBP,Reusable gift bag,1,26.41,15,22.45,2024-02-26
FX24-0126,2024-03-05,Toronto,CAD,Desk organizer,16,55.12,5,837.82,2024-03-05
FX24-0127,2024-03-12,Sydney,AUD,Reusable gift bag,5,6.03,12,26.53,2024-03-12
FX24-0128,2024-03-26,Tokyo,JPY,Reusable gift bag,3,1170,15,2983.5,2024-03-26
FX24-0129,2024-01-09,US-East,USD,Desk organizer,15,11.89,5,169.43,2024-01-09
FX24-0130,2024-01-16,US-West,USD,Scented candle,14,17.94,15,213.49,2024-01-16
FX24-0131,2024-01-22,Berlin,EUR,Reusable gift bag,7,20.82,10,131.17,2024-01-22
FX24-0132,2024-01-31,Paris,EUR,LED desk lamp,9,28.82,15,220.47,2024-01-31
FX24-0133,2024-02-16,London,GBP,Bamboo lunch box,16,36.58,12,515.05,2024-02-16
FX24-0134,2024-02-21,Toronto,CAD,Reusable gift bag,13,6.15,0,79.95,2024-02-21
FX24-0135,2024-02-29,Sydney,AUD,Cotton tea towel,8,11.3,5,85.88,2024-02-29
FX24-0136,2024-03-18,Tokyo,JPY,Travel mug,11,1840,5,19228.0,2024-03-18
FX24-0137,2024-03-20,US-East,USD,Desk organizer,18,17.11,0,307.98,2024-03-20
FX24-0138,2024-01-05,US-West,USD,LED desk lamp,18,25.12,5,429.55,2024-01-05
FX24-0139,2024-01-10,Berlin,EUR,Notebook bundle,3,26.92,15,68.65,2024-01-10
FX24-0140,2024-01-25,Paris,EUR,Scented candle,1,42.76,15,36.35,2024-01-25
FX24-0141,2024-02-01,London,GBP,Pantry cake tin set,7,3.36,0,23.52,2024-02-01
FX24-0142,2024-02-08,Toronto,CAD,LED desk lamp,10,11.32,12,99.62,2024-02-08
FX24-0143,2024-02-19,Sydney,AUD,Scented candle,9,19.19,15,146.8,2024-02-19
FX24-0144,2024-03-05,Tokyo,JPY,Ceramic storage jar,17,2680,0,45560.0,2024-03-05
FX24-0145,2024-03-13,US-East,USD,Notebook bundle,9,24.34,15,186.2,2024-03-13
FX24-0146,2024-03-25,US-West,USD,Scented candle,4,31.69,15,107.75,2024-03-25
FX24-0147,2024-01-02,Berlin,EUR,Pantry cake tin set,8,37.33,0,298.64,2024-01-02
FX24-0148,2024-01-16,Paris,EUR,LED desk lamp,3,3.98,10,10.75,2024-01-16
FX24-0149,2024-01-19,London,GBP,Notebook bundle,9,5.85,12,46.33,2024-01-19
FX24-0150,2024-02-02,Toronto,CAD,Scented candle,17,17.65,0,300.05,2024-02-02
FX24-0151,2024-02-12,Sydney,AUD,Pantry cake tin set,6,28.65,0,171.9,2024-02-12
FX24-0152,2024-02-22,Tokyo,JPY,Scented candle,2,3560,10,6408.0,2024-02-22
FX24-0153,2024-03-05,US-East,USD,Scented candle,18,31.05,10,503.01,2024-03-05
FX24-0154,2024-03-08,US-West,USD,Reusable gift bag,8,45.56,0,364.48,2024-03-08
FX24-0155,2024-03-21,Berlin,EUR,Notebook bundle,10,3.76,5,35.72,2024-03-21
FX24-0156,2024-03-27,Paris,EUR,Desk organizer,16,6.96,0,111.36,2024-03-27
FX24-0157,2024-01-12,London,GBP,Pantry cake tin set,2,9.46,0,18.92,2024-01-12
FX24-0158,2024-01-23,Toronto,CAD,Reusable gift bag,9,25.17,5,215.2,2024-01-23
FX24-0159,2024-01-31,Sydney,AUD,Desk organizer,11,35.87,15,335.38,2024-01-31
FX24-0160,2024-02-09,Tokyo,JPY,Desk organizer,6,4640,5,26448.0,2024-02-09
FX24-0161,2024-02-16,US-East,USD,Notebook bundle,13,42.25,5,521.79,2024-02-16
FX24-0162,2024-02-28,US-West,USD,Notebook bundle,11,4.4,0,48.4,2024-02-28
FX24-0163,2024-03-06,Berlin,EUR,Travel mug,10,6.94,5,65.93,2024-03-06
FX24-0164,2024-03-21,Paris,EUR,Bamboo lunch box,14,12.14,0,169.96,2024-03-21
FX24-0165,2024-03-28,London,GBP,Cotton tea towel,15,13.75,15,175.31,2024-03-28
FX24-0166,2024-01-12,Toronto,CAD,Bamboo lunch box,17,33.3,15,481.18,2024-01-12
FX24-0167,2024-01-16,Sydney,AUD,Bamboo lunch box,12,51.34,0,616.08,2024-01-16
FX24-0168,2024-01-31,Tokyo,JPY,LED desk lamp,1,6530,15,5550.5,2024-01-31
FX24-0169,2024-02-08,US-East,USD,Notebook bundle,15,4.52,12,59.66,2024-02-08
FX24-0170,2024-02-19,US-West,USD,Bamboo lunch box,11,8.27,0,90.97,2024-02-19
FX24-0171,2024-02-28,Berlin,EUR,Ceramic storage jar,1,12.45,5,11.83,2024-02-28
FX24-0172,2024-03-12,Paris,EUR,Notebook bundle,2,17.27,12,30.4,2024-03-12
FX24-0173,2024-03-14,London,GBP,Pantry cake tin set,13,18.85,5,232.8,2024-03-14
FX24-0174,2024-03-28,Toronto,CAD,Cotton tea towel,14,39.58,15,471.0,2024-03-28
FX24-0175,2024-01-10,Sydney,AUD,Notebook bundle,16,71.89,0,1150.24,2024-01-10
FX24-0176,2024-01-18,Tokyo,JPY,Scented candle,18,630,15,9639.0,2024-01-18
FX24-0177,2024-01-24,US-East,USD,Desk organizer,15,7.36,0,110.4,2024-01-24
FX24-0178,2024-02-05,US-West,USD,Ceramic storage jar,10,12.58,15,106.93,2024-02-05
FX24-0179,2024-02-20,Berlin,EUR,Scented candle,14,15.98,0,223.72,2024-02-20
FX24-0180,2024-02-29,Paris,EUR,Pantry cake tin set,5,20.42,15,86.79,2024-02-29
FX24-0181,2024-03-08,London,GBP,Notebook bundle,9,25.72,10,208.33,2024-03-08
FX24-0182,2024-03-20,Toronto,CAD,Travel mug,6,58.13,5,331.34,2024-03-20
FX24-0183,2024-03-27,Sydney,AUD,Desk organizer,18,5.97,0,107.46,2024-03-27
FX24-0184,2024-01-03,Tokyo,JPY,Ceramic storage jar,16,1170,0,18720.0,2024-01-03
FX24-0185,2024-01-16,US-East,USD,Notebook bundle,9,12.47,12,98.76,2024-01-16
FX24-0186,2024-01-29,US-West,USD,Desk organizer,18,16.9,5,288.99,2024-01-29
FX24-0187,2024-02-06,Berlin,EUR,Pantry cake tin set,18,23.28,12,368.76,2024-02-06
FX24-0188,2024-02-14,Paris,EUR,Cotton tea towel,14,28.22,0,395.08,2024-02-14
FX24-0189,2024-02-26,London,GBP,Scented candle,16,35.21,0,563.36,2024-02-26
FX24-0190,2024-03-01,Toronto,CAD,Scented candle,17,5.62,0,95.54,2024-03-01
FX24-0191,2024-03-14,Sydney,AUD,Notebook bundle,8,11.41,15,77.59,2024-03-14
FX24-0192,2024-03-25,Tokyo,JPY,LED desk lamp,10,1850,12,16280.0,2024-03-25
FX24-0193,2024-01-05,US-East,USD,Pantry cake tin set,13,19.32,0,251.16,2024-01-05
FX24-0194,2024-01-18,US-West,USD,Cotton tea towel,2,23.9,0,47.8,2024-01-18
FX24-0195,2024-01-24,Berlin,EUR,LED desk lamp,3,30.35,0,91.05,2024-01-24
FX24-0196,2024-02-06,Paris,EUR,LED desk lamp,18,41.85,0,753.3,2024-02-06
FX24-0197,2024-02-12,London,GBP,Desk organizer,15,3.62,12,47.78,2024-02-12
FX24-0198,2024-02-21,Toronto,CAD,LED desk lamp,18,10.28,0,185.04,2024-02-21
FX24-0199,2024-03-07,Sydney,AUD,Travel mug,12,18.81,0,225.72,2024-03-07
FX24-0200,2024-03-14,Tokyo,JPY,Pantry cake tin set,12,2660,12,28089.6,2024-03-14
FX24-0201,2024-03-20,US-East,USD,Reusable gift bag,15,24.84,0,372.6,2024-03-20
FX24-0202,2024-01-04,US-West,USD,Cotton tea towel,11,29.27,15,273.67,2024-01-04
FX24-0203,2024-01-16,Berlin,EUR,Scented candle,8,40.89,10,294.41,2024-01-16
FX24-0204,2024-01-22,Paris,EUR,Pantry cake tin set,12,4.13,0,49.56,2024-01-22
FX24-0205,2024-02-06,London,GBP,Reusable gift bag,13,5.83,0,75.79,2024-02-06
FX24-0206,2024-02-12,Toronto,CAD,Travel mug,6,16.91,12,89.28,2024-02-12
FX24-0207,2024-02-26,Sydney,AUD,Bamboo lunch box,7,29.41,0,205.87,2024-02-26
FX24-0208,2024-03-06,Tokyo,JPY,LED desk lamp,5,3540,0,17700.0,2024-03-06
FX24-0209,2024-03-08,US-East,USD,Travel mug,15,29.46,10,397.71,2024-03-08
FX24-0210,2024-03-25,US-West,USD,Bamboo lunch box,8,46.42,10,334.22,2024-03-25
FX24-0211,2024-03-29,Berlin,EUR,Reusable gift bag,15,3.64,0,54.6,2024-03-29
FX24-0212,2024-01-10,Paris,EUR,Notebook bundle,17,7.23,0,122.91,2024-01-10
FX24-0213,2024-01-23,London,GBP,Pantry cake tin set,7,9.85,12,60.68,2024-01-23
FX24-0214,2024-02-05,Toronto,CAD,Reusable gift bag,1,24.46,0,24.46,2024-02-05
FX24-0215,2024-02-07,Sydney,AUD,Cotton tea towel,5,34.91,0,174.55,2024-02-07
FX24-0216,2024-02-19,Tokyo,JPY,Bamboo lunch box,7,4660,10,29358.0,2024-02-19
FX24-0217,2024-03-04,US-East,USD,Ceramic storage jar,5,41.25,0,206.25,2024-03-04
FX24-0218,2024-03-12,US-West,USD,LED desk lamp,8,4.16,12,29.29,2024-03-12
FX24-0219,2024-03-19,Berlin,EUR,LED desk lamp,8,7.31,0,58.48,2024-03-19
FX24-0220,2024-03-28,Paris,EUR,Desk organizer,15,10.67,5,152.05,2024-03-28
FX24-0221,2024-01-10,London,GBP,Pantry cake tin set,7,13.94,0,97.58,2024-01-10
FX24-0222,2024-01-23,Toronto,CAD,LED desk lamp,9,33.44,12,264.84,2024-01-23
FX24-0223,2024-01-31,Sydney,AUD,Travel mug,12,44.52,12,470.13,2024-01-31
FX24-0224,2024-02-07,Tokyo,JPY,Ceramic storage jar,16,6530,0,104480.0,2024-02-07
FX24-0225,2024-02-16,US-East,USD,LED desk lamp,16,4.09,10,58.9,2024-02-16
FX24-0226,2024-02-26,US-West,USD,Bamboo lunch box,17,8.21,0,139.57,2024-02-26
FX24-0227,2024-03-08,Berlin,EUR,Bamboo lunch box,7,11.31,0,79.17,2024-03-08
FX24-0228,2024-03-21,Paris,EUR,Cotton tea towel,4,16.64,0,66.56,2024-03-21
FX24-0229,2024-01-02,London,GBP,Travel mug,11,18.05,0,198.55,2024-01-02
FX24-0230,2024-01-10,Toronto,CAD,Pantry cake tin set,4,40.25,10,144.9,2024-01-10
FX24-0231,2024-01-19,Sydney,AUD,Cotton tea towel,1,71.14,0,71.14,2024-01-19
FX24-0232,2024-02-01,Tokyo,JPY,LED desk lamp,14,630,12,7761.6,2024-02-01
FX24-0233,2024-02-12,US-East,USD,Desk organizer,16,8.07,0,129.12,2024-02-12
FX24-0234,2024-02-20,US-West,USD,Ceramic storage jar,14,12.99,5,172.77,2024-02-20
FX24-0235,2024-02-23,Berlin,EUR,Travel mug,11,17.27,5,180.47,2024-02-23
FX24-0236,2024-03-08,Paris,EUR,Desk organizer,8,23.38,0,187.04,2024-03-08
FX24-0237,2024-03-18,London,GBP,Reusable gift bag,5,26.26,5,124.73,2024-03-18
FX24-0238,2024-01-02,Toronto,CAD,Reusable gift bag,8,55.66,10,400.75,2024-01-02
FX24-0239,2024-01-05,Sydney,AUD,LED desk lamp,11,5.98,0,65.78,2024-01-05
FX24-0240,2024-01-15,Tokyo,JPY,Scented candle,7,1180,12,7268.8,2024-01-15
